tbl,Year,quarter,citymarketid,cityname,airportid,apt,TotalMkts,TotalFaredPax,TotalPerLFMkts,TotalAvgHubFare,TotalPerPrem,SHMkts,SHPax,SHPerLFMkts,SHAvgHubFare,SHPerPrem,LHMkts,LHPax,LHPerLFMkts,LHAvgHubFare,LHPerPrem,tbl7pk
Table 7,2009,2,31871,"Greenville/Spartanburg, SC",11996,GSP,54,166630,0.0000,211.71,0.1682,31,108980,0.0000,190.12,0.0905,23,57650,0.0000,252.53,0.3001,2009211996GSP
Table 7,2017,3,30135,"Allentown/Bethlehem/Easton, PA",10135,ABE,19,93830,0.6196,159.19,-0.2601,7,35010,0.2734,214.17,0.0140,12,58820,0.8257,126.46,-0.4185,2017310135ABE
Table 7,2020,1,30977,"Chicago, IL",13930,ORD,149,5056670,0.4192,206.90,0.1100,72,1456450,0.0000,212.32,0.2580,77,3600220,0.5888,204.70,0.0577,2020113930ORD
Table 7,2016,1,32448,"Jackson/Vicksburg, MS",12448,JAN,42,123400,0.0000,287.65,0.1524,16,61580,0.0000,277.38,0.1925,26,61820,0.0000,297.88,0.1175,2016112448JAN
Table 7,2018,1,35249,"Tallahassee, FL",15249,TLH,36,85440,0.0000,299.26,0.1734,11,44200,0.0000,273.75,0.0790,25,41240,0.0000,326.60,0.2733,2018115249TLH
Table 7,2013,1,31624,"Key West, FL",11624,EYW,42,131380,0.5447,272.00,0.2474,7,21290,0.4706,214.34,0.0773,35,110090,0.5590,283.16,0.2769,2013111624EYW
Table 7,2013,1,30977,"Chicago, IL",13930,ORD,158,5211840,0.4725,218.67,0.1305,76,1674770,0.0834,201.38,0.1817,82,3537070,0.6567,226.86,0.1103,2013113930ORD
Table 7,2009,2,33795,"Jacksonville/Camp Lejeune, NC",13795,OAJ,19,19110,0.0000,291.23,0.2701,12,10050,0.0000,222.92,-0.0376,7,9060,0.0000,367.00,0.6187,2009213795OAJ
Table 7,2008,3,32575,"Los Angeles, CA (Metropolitan Area)",14908,SNA,182,2012270,0.6555,193.87,-0.0120,26,846380,0.9314,126.84,-0.0854,156,1165890,0.4552,242.53,0.0190,2008314908SNA
Table 7,2013,3,34689,"Santa Barbara, CA",14689,SBA,31,105310,0.2862,260.59,0.0914,5,20830,0.0000,236.35,0.6365,26,84480,0.3568,266.56,0.0173,2013314689SBA
